id,name,position,team,cost,points,goals,assists,clean_sheets,form,selected_by_percent,minutes,yellow_cards,red_cards,saves,bonus
408,Karl Darlow,GK,Newcastle,4.0,0,0,0,0,0.0,0.007942160297898099,0,0,0,0,0
701,Saman Ghoddos,MID,Brentford,4.5,0,0,0,0,0.4,0.03454947933404445,0,0,0,0,0
220,Joachim Andersen,DEF,Crystal Palace,4.7,1,0,0,0,2.0,16.445887594843352,90,0,0,0,0
716,Alfie Gilchrist,DEF,Chelsea,4.0,0,0,0,0,0.3,0.04292445490703236,0,0,0,0,0
319,Allan Campbell,MID,Luton,4.9,0,0,0,0,0.0,0.014650797061790222,0,0,0,0,0
325,Carlos Mendes Gomes,MID,Luton,4.5,0,0,0,0,0.0,0.007639189605335228,0,0,0,0,0
567,Pedro Lomba Neto,MID,Wolves,5.8,1,0,0,0,2.8,6.984253531069321,45,0,0,0,0
625,Luc De Fougerolles,DEF,Fulham,3.9,0,0,0,0,0.0,0.09231949817665745,0,0,0,0,0
640,Dane Scarlett,FWD,Spurs,4.5,1,0,0,0,0.8,0.16312807718135114,1,0,0,0,0
42,Lucas Digne,DEF,Aston Villa,4.6,7,1,0,0,3.5,2.9302676161768173,11,0,0,0,0
199,Enzo Fernández,MID,Chelsea,4.8,2,0,0,0,4.0,2.5475939907061576,70,0,0,0,0
775,Ben Brereton,MID,Sheffield Utd,5.0,0,0,0,0,-1.5,0.09175683831904069,0,0,0,0,0
428,Matt Targett,DEF,Newcastle,4.2,0,0,0,0,0.0,0.09357466247441791,0,0,0,0,0
253,Demarai Gray,MID,Everton,5.3,0,0,0,0,0.0,0.08463702704381325,0,0,0,0,0
749,Matthew Whittingham,MID,Wolves,4.5,0,0,0,0,0.0,0.003635648310754442,0,0,0,0,0
361,Stefan Ortega Moreno,GK,Man City,3.7,0,0,0,0,1.0,0.8616270088850483,0,0,0,0,0
230,Sam Johnstone,GK,Crystal Palace,4.4,1,0,0,0,2.0,2.3586268416019447,90,1,0,3,0
734,Zack Nelson,MID,Luton,4.5,0,0,0,0,-1.0,0.007812315715371154,0,0,0,0,0
788,Yerson Mosquera,DEF,Wolves,4.0,0,0,0,0,0.0,0.00023804840129939804,0,0,0,0,0
35,Emiliano Buendía Stati,MID,Aston Villa,5.7,0,0,0,0,0.0,0.04266476574197847,0,0,0,0,0
32,Alexandre Moreno Lopera,DEF,Aston Villa,5.2,1,0,0,0,1.5,4.248806890592306,78,0,0,0,0
518,Japhet Tanganga,DEF,Spurs,4.0,0,0,0,0,0.0,0.34152371319149544,0,0,0,0,0
52,Marvelous Nakamba,MID,Luton,4.4,0,0,0,0,0.0,0.5727769146719834,0,0,0,0,0
96,Nathan Collins,DEF,Brentford,4.5,1,0,0,0,1.8,0.5488638707232711,90,0,0,0,0
26,Leandro Trossard,MID,Arsenal,6.5,1,0,0,0,6.7,2.7745515005813792,16,0,0,0,0
372,Antony Matheus dos Santos,MID,Man Utd,6.8,1,0,0,0,-0.5,0.6685805758131138,15,0,0,0,0
194,Trevoh Chalobah,DEF,Chelsea,4.3,1,0,0,0,0.7,0.0560279373603765,90,0,0,0,0
550,Luke Cundle,MID,Wolves,4.5,0,0,0,0,0.0,0.010701357676595665,0,0,0,0,0
533,Lukasz Fabianski,GK,West Ham,4.2,0,0,0,0,0.0,1.4052538147797329,0,0,0,0,0
772,Ethan Nwaneri,MID,Arsenal,4.5,0,0,0,0,1.7,0.0019476687379041658,0,0,0,0,0
785,Callum Marshall,FWD,West Ham,4.5,0,0,0,0,0.0,0.0005626598576167589,0,0,0,0,0
633,Tino Livramento,DEF,Newcastle,4.1,7,1,0,0,2.2,0.8772408199339135,38,0,0,0,0
707,Fodé Ballo-Touré,DEF,Fulham,4.5,0,0,0,0,0.2,0.0407387377678288,0,0,0,0,0
357,Aymeric Laporte,DEF,Man City,4.9,0,0,0,0,0.0,0.11691422618363616,0,0,0,0,0
673,Tyler Adams,MID,Bournemouth,4.9,0,0,0,0,0.0,0.003440881436964026,0,0,0,0,0
430,Kieran Trippier,DEF,Newcastle,6.9,1,0,0,0,1.5,48.317798511072176,51,0,0,0,0
779,Jamie McDonnell,MID,Nott'm Forest,4.5,0,0,0,0,-0.5,0.0019043872103951844,0,0,0,0,0
509,Richarlison de Andrade,MID,Spurs,7.1,0,0,0,0,0.0,9.245183144701615,0,0,0,0,0
691,Norberto Bercique Gomes Betuncal,FWD,Everton,5.7,4,1,0,0,1.5,0.151745035446489,73,0,0,0,0
324,John McAtee,FWD,Luton,4.5,0,0,0,0,0.0,0.45370943249477536,0,0,0,0,0
476,Jayden Bogle,DEF,Sheffield Utd,4.5,-4,0,0,0,-1.5,0.10722998440350155,90,1,0,0,0
148,Jason Steele,GK,Brighton,4.2,1,0,0,0,0.8,2.4553610555845182,90,0,0,2,0
424,Nick Pope,GK,Newcastle,5.3,0,0,0,0,0.0,5.7991403855821435,0,0,0,0,0
6,Kai Havertz,MID,Arsenal,7.1,14,1,1,1,12.3,2.53898096673187,90,0,0,0,3
61,Wesley Moraes Ferreira da Silva,FWD,Aston Villa,5.0,0,0,0,0,0.0,0.0055075743755178905,0,0,0,0,0
528,Vladimír Coufal,DEF,West Ham,4.6,2,0,0,0,1.8,2.719010480405479,90,0,0,0,0
396,Marcus Rashford,MID,Man Utd,8.4,7,1,0,0,2.2,12.351639038985619,74,0,0,0,0
458,Lewis O'Brien,MID,Nott'm Forest,4.9,0,0,0,0,0.0,0.008926815048727426,0,0,0,0,0
132,Evan Ferguson,FWD,Brighton,5.8,2,0,0,0,1.5,5.233310156075352,90,0,0,0,0
141,Tom McGill,GK,Brighton,3.9,0,0,0,0,0.0,0.30162896521009175,0,0,0,0,0
493,Yves Bissouma,MID,Spurs,5.0,2,0,0,0,2.2,0.3617578273019443,89,0,0,0,0
559,João Victor Gomes da Silva,MID,Wolves,4.9,0,0,0,0,4.8,0.2457957947235057,0,0,0,0,0
249,Abdoulaye Doucouré,MID,Everton,5.5,2,0,0,0,1.8,0.5715433911379775,90,0,0,0,0
804,Enes Ünal,FWD,Bournemouth,5.0,1,0,0,0,1.1,0.014272083696086636,1,0,0,0,0
352,Ederson Santana de Moraes,GK,Man City,5.5,2,0,0,0,6.8,18.337528395387142,90,0,0,0,0
803,Morgan Rogers,MID,Aston Villa,5.0,0,0,0,0,1.2,0.005604957812413099,49,1,0,0,0
313,Virgil van Dijk,DEF,Liverpool,6.4,6,0,0,1,5.0,21.350777520180554,90,0,0,0,0
439,Willy Boly,DEF,Nott'm Forest,4.5,0,0,0,0,-0.2,0.3627533024346508,0,0,0,0,0
689,Mohammed Kudus,MID,West Ham,6.8,5,0,1,0,3.0,3.658425214606044,90,0,0,0,0
392,Scott McTominay,MID,Man Utd,4.6,2,0,0,0,1.5,1.77018201397171,90,0,0,0,0
711,Andrew Omobamidele,DEF,Nott'm Forest,4.5,2,0,0,0,0.5,0.030361991547550496,90,0,0,0,0
822,Billy Blacker,FWD,Sheffield Utd,4.5,0,0,0,0,-1.5,0.005442652084254418,0,0,0,0,0
793,Kaine Kesler-Hayden,DEF,Aston Villa,4.0,0,0,0,0,1.0,0.010593153857823211,0,0,0,0,0
358,Rico Lewis,DEF,Man City,4.2,0,0,0,0,1.0,0.30201849895767263,0,0,0,0,0
382,Alejandro Garnacho,MID,Man Utd,5.0,2,0,0,0,1.8,11.41444248306989,81,0,0,0,0
715,Jean-Ricner Bellegarde,MID,Wolves,4.9,2,0,0,0,1.5,0.01848121224633508,80,0,0,0,0
251,Jean-Philippe Gbamin,MID,Everton,4.4,0,0,0,0,0.0,0.013168404744607608,0,0,0,0,0
820,Ollie Harrison,MID,Chelsea,4.5,0,0,0,0,0.0,0.0009954751327065736,0,0,0,0,0
624,Lewis Dobbin,MID,Everton,4.5,1,0,0,0,0.2,0.05879795512095131,1,0,0,0,0
760,Jenson Metcalfe,MID,Everton,4.5,0,0,0,0,0.0,0.001871926064763448,0,0,0,0,0
359,Riyad Mahrez,MID,Man City,7.5,0,0,0,0,0.0,0.0454131427387988,0,0,0,0,0
571,Matija Šarkić,GK,Wolves,4.0,0,0,0,0,0.0,0.30360909509362766,0,0,0,0,0
